[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE
[2026-05-20 13:39:49] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: admin | STATUS: FAILURE | TYPE: brute_force
[2026-05-22 13:17:14] 172.16.0.25 — Failed SSH login for user: root | STATUS: FAILURE | TYPE: brute_force
